facility_state,facility_county,nyt_id,facility_name,facility_type,latest_inmate_population,max_inmate_population_2020,total_inmate_cases,total_inmate_deaths,total_officer_cases,total_officer_deaths
Washington,Yakima,206257E9,Ahtanum View Work Release facility,Low-security work release,,,10,0,11,0.0
Washington,Whatcom,BF575B71,Bellingham Work Release facility,Low-security work release,,,16,0,0,0.0
Washington,King,D7DEAFB3,Bishop Lewis Work Release facility,Low-security work release,,,36,0,4,0.0
Washington,Spokane,D2A54667,Brownstone Work Release facility,Low-security work release,,,3,0,1,0.0
Washington,Spokane,358F51EB,Eleanor Chase House Work Release facility,Low-security work release,,,0,0,5,0.0
Washington,King,783D1333,Helen B. Ratcliff Work Release facility,Low-security work release,,,8,0,2,0.0
Washington,Cowlitz,7BDEAE76,Longview Work Release facility,Low-security work release,,,1,0,3,0.0
Washington,Thurston,F393D95C,Olympia Work Release facility,Low-security work release,,,1,0,1,0.0
Washington,Benton,167B3ABB,Peninsula Work Release facility,Low-security work release,,,2,0,2,0.0
Washington,Pierce,54B4A597,Progress House Work Release facility,Low-security work release,,,16,0,1,0.0
Washington,King,A65FB12F,Reynolds Work Release facility,Low-security work release,,,9,0,2,0.0
Washington,Benton,B9A0EFBA,Tri-Cities Work Release facility,Low-security work release,,,1,0,0,0.0
West Virginia,Greenbrier,E9E158E1,Anthony Correctional Center,State prison,,,0,0,0,0.0
West Virginia,Pocahontas,D94F80BF,Denmar Correctional Center,State prison,119.0,,61,0,0,0.0
West Virginia,Randolph,4704A2B8,Huttonsville Correctional Center,State prison,901.0,,128,0,1,0.0
West Virginia,Mason,1F7E4E2E,Lakin Correctional Center,State prison,394.0,,261,0,0,0.0
West Virginia,Berkeley,ADC8FE7B,Martinsburg Correctional Center,State prison,66.0,,12,0,0,0.0
West Virginia,Fayette,DD81214B,Mount Olive Correctional Center,State prison,995.0,,205,6,0,0.0
West Virginia,Marshall,BDE35778,Northern Correctional Facility,State prison,232.0,,128,0,0,0.0
West Virginia,Ohio,2F281A87,Ohio County Correctional Center,State prison,20.0,,19,0,0,0.0
West Virginia,Taylor,99E2AD7D,Pruntytown Correctional Center,State prison,97.0,,54,0,0,0.0
West Virginia,Doddridge,EC4D7281,Salem Correction Center,State prison,197.0,,4,0,0,0.0
